Model,Sparsity (%),Samples,CSR Mean (ms),CSR Std (ms)
LSTM_Weight,64.99066762383346,972,14.104705245879387,0.8680799234373838
LSTM_WeightNode,64.4344639930738,972,13.840126542054948,0.5014856589751768
LSTM_NodeWeight,63.497834430789815,972,13.738180556750871,0.491711145081851
