Model,Sparsity (%),Samples,CSR Mean (ms),CSR Std (ms)
MLP_Weight,60.98082463089665,972,0.277168210404216,0.045432991584645865
MLP_WeightNode,58.03347878961299,972,0.26845925982462804,0.039602972122303216
MLP_NodeWeight,60.976460331299045,972,0.26708528787039465,0.04659242028887207
